video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=n_9rS1sUvHs&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNewYork,CBS New York,NYPD Forms Task Force To Fight Asian-American Hate Crimes,1.3K,5 years,The NYPD has formed a new task force to fight an increase in hate crimes against Asian Americans.,2026-01-22 05:47:30.936772
/watch?v=A8qlJGEh_XM&t=2914s&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@ManhattanInst,Manhattan Institute,Policing the Police: Lessons Learned in a Time of Urban Unrest,769,Streamed 5 years,"In the wake of George Floyd's death, and the ensuing urban unrest, there are increasing demands for dramatic changes in the ...",2026-01-22 05:47:30.940525
/watch?v=5R1FJtVFQ9s&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNewYork,CBS New York,Obama Administration Announces New Guidelines On Racial Profiling,108,11 years,The hope is that local police departments will adopt the same protocols. CBS2 Political Reporter Marcia Kramer has the details.,2026-01-22 05:47:30.941837
/watch?v=4vxKsQWdzPI&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@PIX11News,PIX11 News,The history of racism in the NYPD: Wearing the blue uniform as an officer of color,3.4K,4 years,Wearing the blue uniform of the NYPD did not come easily for officers of color and tensions from more the a century ago have ...,2026-01-22 05:47:30.946662
/watch?v=fRACqv1gFmA&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@amnesty,Amnesty International,Facial Recognition Tech and Racist Policing in Brooklyn NYC,13K,4 years,"In New York City, activist and Black Lives Matter protester, Dwreck Ingram, was seemingly subject to a facial recognition search by ...",2026-01-22 05:47:30.950088
/watch?v=IUFH3-91FOs&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@NBCNewYork,NBC New York,The Debrief: What's Next - George Floyd and the Future of Policing in NYC,1.4K,Streamed 5 years,George Floyd's death in Minneapolis touched off a national conversation about race and policing -- and the protests that followed ...,2026-01-22 05:47:30.951341
/watch?v=anXQImx2h6c&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNewYork,CBS New York,NYPD Investigating 2 More Attacks On Asians; Rally Held In Queens,9.6K,4 years,CBS2's Natalie Duddridge has the story.,2026-01-22 05:47:30.954980
/watch?v=0SCac8uGz1g&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr0gcJCYcKAYcqIYzv,/@BRICTV,BRIC TV,Predictive Policing: Can Technology Prevent Bias? | Going In with Brian Vines,2.5K,7 years,Can a computer predict future crimes? Predictive policing software is currently being used by police in over twenty 20 American ...,2026-01-22 05:47:30.957951
/watch?v=hFGvqOoHXbs&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@NBCNewYork,NBC New York,Activists Patrol NYC Streets to Stop Anti-Asian Attacks | NBC New York,19K,4 years,A group of community activists in Queens is taking safety into their own hands by patrolling parts of the borough in the wake of a ...,2026-01-22 05:47:30.960929
/watch?v=DAoe22-r-QQ&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr0gcJCYcKAYcqIYzv,/@CBSNews,CBS News,Racial Profiling 2.0 | Full Documentary,56K,5 years,"""As police departments turn to big data to help reduce crime in their neighborhoods, advocacy groups are sounding the alarm ...",2026-01-22 05:47:30.966946
/watch?v=WfEAxQ5DHGM&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr0gcJCYcKAYcqIYzv,/@abc7NY,Eyewitness News ABC7NY,Police investigating racist graffiti scrawled in Queens neighborhood,2K,6 years,Police in Queens are investigating racist graffiti that was scrawled in a residential neighborhood on Thanksgiving. Check out more ...,2026-01-22 05:47:30.970946
/watch?v=7lpCWxlRFAw&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@WIRED,WIRED,How Cops Are Using Algorithms to Predict Crimes | WIRED,148K,7 years,The LAPD is one of a growing number of police departments using algorithms to try to predict crimes before they happen.,2026-01-22 05:47:30.980392
/watch?v=4B0RNGjaFHY&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr0gcJCYcKAYcqIYzv,/@HailStateDebate,Hail State Debate,Lincoln Douglas - March-April 2020 - Predictive Policing,1.6K,5 years,"We don't have any algorithms or anything, but we're predicting that even this somewhat abbreviated video will be helpful on the ...",2026-01-22 05:47:30.984428
/watch?v=aIU614NzEHY&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@NACDLvideo,NACDLvideo,"Garbage In, Gospel Out: Predictive Policing and Social Media Monitoring in Criminal Cases",561,3 years,"More Proven Criminal Defense resources are available at: https://www.nacdl.org/store. Get access to Trial Guides, Current CLE ...",2026-01-22 05:47:30.988468
